expected_group_id,group_key_current,group_size_current,bid_no,bid_ord,entry_key,project_name,notice_date,demand_org_name,review_status,review_note,suggested_decision,suggested_reason,group_title_variants,group_org_variants,group_bid_nos
draft-group-001,부산정보관광고등학교그린스마트스쿨리모델링,3,20240340653,000,20240340653|000|부산정보관광고등학교-그린스마트스쿨-리모델링-건축설계공모,부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모,20240325,부산광역시교육청 부산정보관광고등학교,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모 || 부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모(재공고),부산광역시교육청 부산정보관광고등학교,20240340653 || 20240348981 || 20240349047
draft-group-001,부산정보관광고등학교그린스마트스쿨리모델링,3,20240348981,000,20240348981|000|부산정보관광고등학교-그린스마트스쿨-리모델링-건축설계공모,부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모,20240329,부산광역시교육청 부산정보관광고등학교,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모 || 부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모(재공고),부산광역시교육청 부산정보관광고등학교,20240340653 || 20240348981 || 20240349047
draft-group-001,부산정보관광고등학교그린스마트스쿨리모델링,3,20240349047,000,20240349047|000|부산정보관광고등학교-그린스마트스쿨-리모델링-건축설계공모(재공고),부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모(재공고),20240329,부산광역시교육청 부산정보관광고등학교,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모 || 부산정보관광고등학교 그린스마트스쿨 리모델링 건축설계공모(재공고),부산광역시교육청 부산정보관광고등학교,20240340653 || 20240348981 || 20240349047
draft-group-002,장마면기초생활거점조성행복문화복합센터세부,3,R25BK00614312,000,r25bk00614312|000|장마면-기초생활-거점조성(행복문화복합센터)-세부설계용역(건축설계공모),장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),20250204,경상남도 창녕군,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),경상남도 창녕군,R25BK00614312 || R25BK00759830 || R25BK00833907
draft-group-002,장마면기초생활거점조성행복문화복합센터세부,3,R25BK00759830,000,r25bk00759830|000|장마면-기초생활-거점조성(행복문화복합센터)-세부설계용역(건축설계공모),장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),20250402,경상남도 창녕군,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),경상남도 창녕군,R25BK00614312 || R25BK00759830 || R25BK00833907
draft-group-002,장마면기초생활거점조성행복문화복합센터세부,3,R25BK00833907,000,r25bk00833907|000|장마면-기초생활-거점조성(행복문화복합센터)-세부설계용역(건축설계공모),장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),20250508,경상남도 창녕군,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,장마면 기초생활 거점조성(행복문화복합센터) 세부설계용역(건축설계공모),경상남도 창녕군,R25BK00614312 || R25BK00759830 || R25BK00833907
draft-group-003,88올림픽기념국민생활관,2,R25BK00942195,000,r25bk00942195|000|88올림픽기념-국민생활관-부설주차장-증축사업-건축설계공모(일반공모),88올림픽기념 국민생활관 부설주차장 증축사업 건축설계공모(일반공모),20250704,인천광역시 종합건설본부,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,88올림픽기념 국민생활관 부설주차장 증축사업 건축설계공모(일반공모),인천광역시 종합건설본부,R25BK00942195 || R25BK01114672
draft-group-003,88올림픽기념국민생활관,2,R25BK01114672,000,r25bk01114672|000|88올림픽기념-국민생활관-부설주차장-증축사업-건축설계공모(일반공모),88올림픽기념 국민생활관 부설주차장 증축사업 건축설계공모(일반공모),20251028,인천광역시 종합건설본부,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,88올림픽기념 국민생활관 부설주차장 증축사업 건축설계공모(일반공모),인천광역시 종합건설본부,R25BK00942195 || R25BK01114672
draft-group-004,가칭오송2고등학교신축공사,2,R25BK00590835,000,r25bk00590835|000|(가칭)오송2고등학교-신축공사-설계공모,(가칭)오송2고등학교 신축공사 설계공모,20250120,충청북도교육청,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,(가칭)오송2고등학교 신축공사 설계공모,충청북도교육청,R25BK00590835 || R25BK00591197
draft-group-004,가칭오송2고등학교신축공사,2,R25BK00591197,000,r25bk00591197|000|(가칭)오송2고등학교-신축공사-설계공모,(가칭)오송2고등학교 신축공사 설계공모,20250120,충청북도교육청,accepted,?? ?? baseline ??? ?? ??,keep,?? ?? baseline ??? ?? ??,(가칭)오송2고등학교 신축공사 설계공모,충청북도교육청,R25BK00590835 || R25BK00591197
